"OTU","cf1102_633185","cf1110_633386","cf1117_632694","cf1118_632750","cf1119_633007","cf1123_633019","cf1124_632448","cf1125_633412","cf1126_633182","cf1128_633308","cf1130_632580","cf1131_633074","cf1132_632859","cf1133_633067","cf1134_632952","cf1137_632641","cf1140_633217","cf1141_632677","cf1143_632988","cf1144_633381","cf1150_632444","cf1151_632568","cf1154_633214","cf1161_633403","cf1162_633316","cf1164_633052","cf1168_632599","cf1170_633247","cf1172_633362","cf1174_632824","cf1182_633426","cf1186_632758","cf1187_632618","cf1188_632768","cf1189_632539","cf1191_632959","cf1192_632518","cf1194_633098","cf1195_633020","cf1198_633149","cf1201_633317","cf1202_633375","cf1204_632753","cf1207_633369","cf1208_632654","cf1218_632778","cf1220_633005","cf1228_633181","cf1234_632919","cf1238_633414","cf1241_632673","cf1248_632722","cf1250_633016","cf1251_632797","cf1252_632678","cf1253_632698","cf1258_632461","cf1260_633356","cf1264_632882","cf1270_633038","cf1271_633168","cf1281_632788","cf1287_632869","cf1293_633175","cf1294_633121","cf1295_633413","cf1299_632684","cf1300_633106","cf1303_633318","cf1304_632874","cf1305_632600","cf1313_632452","cf1316_632671","cf1321_632775","cf1323_632627","cf1325_632891","cf1328_632517","cf1333_632690","cf1334_632771","cf1335_633011","cf1338_633285","cf1339_632979","cf1342_632522","cf1345_632776","cf1346_632964","cf1355_632609","cf2189_632453","cf2191_633335","cf2192_633332","cf2194_632592","cf2201_633224","cf2202_633012","cf2204_632541","cf2218_633228","cf2223_632760","cf2228_632865","cf2234_632890","cf2250_633162","cf2251_633257","cf2253_632675","cf2260_632534","cf2270_633212","cf2271_632597","cf2294_632787","cf2295_632763","cf2313_632741","cf3189_632994","cf3191_632469","cf3192_633226","cf3194_633080","cf3201_633315","cf3202_633352","cf3204_632926","cf3218_632817","cf3223_633267","cf3228_633417","cf3234_632782","cf3250_632877","cf3251_632605","cf3253_633196","cf3260_632910","cf3270_633420","cf3271_632880","cf3294_632864","cf3295_632665","cf3313_633271","mf1102_633148","mf1110_632489","mf1117_632967","mf1118_632524","mf1119_632652","mf1123_633322","mf1124_632705","mf1125_633170","mf1126_632916","mf1128_633113","mf1130_632557","mf1130_632619","mf1131_632893","mf1132_633394","mf1133_633210","mf1134_633290","mf1137_633108","mf1140_632457","mf1141_633109","mf1141_633237","mf1143_633305","mf1143_633325","mf1144_633023","mf1150_633401","mf1151_633218","mf1154_633339","mf1161_633192","mf1162_632632","mf1164_632974","mf1168_632844","mf1170_632446","mf1172_632688","mf1174_633418","mf1182_632855","mf1186_632927","mf1187_633010","mf1188_633238","mf1189_633050","mf1191_632643","mf1192_632565","mf1194_632571","mf1195_632799","mf1195_633279","mf1198_633204","mf1201_632508","mf1201_632821","mf1202_632626","mf1204_633164","mf1207_633299","mf1208_632575","mf1218_632856","mf1220_632944","mf1228_633030","mf1234_632767","mf1234_633254","mf1238_633133","mf1241_632504","mf1248_632428","mf1250_633061","mf1251_632829","mf1252_632648","mf1253_632958","mf1258_633367","mf1260_633107","mf1264_632553","mf1264_632899","mf1270_633366","mf1271_632554","mf1281_632700","mf1281_633198","mf1287_633195","mf1293_633039","mf1294_632710","mf1295_632704","mf1295_633268","mf1299_632440","mf1300_632532","mf1303_632612","mf1304_633230","mf1305_633053","mf1313_632803","mf1316_633246","mf1321_632655","mf1323_632708","mf1325_633258","mf1328_633312","mf1333_633122","mf1334_632745","mf1335_632811","mf1338_633251","mf1339_633239","mf1342_632512","mf1342_633058","mf1345_633262","mf1346_633406","mf1355_632662","mf2102_632636","mf2110_632835","mf2117_633208","mf2118_632714","mf2119_632450","mf2123_633047","mf2124_632637","mf2125_632706","mf2126_633200","mf2128_633419","mf2130_632559","mf2130_632761","mf2131_632904","mf2132_632500","mf2133_632962","mf2134_632759","mf2137_632832","mf2140_632658","mf2141_632434","mf2141_633292","mf2143_633065","mf2143_633295","mf2144_633145","mf2150_632509","mf2151_632998","mf2154_632972","mf2161_632629","mf2162_633171","mf2164_633209","mf2168_632827","mf2170_632863","mf2172_632953","mf2182_633301","mf2186_632578","mf2187_633347","mf2188_632973","mf2189_632937","mf2191_633014","mf2192_633427","mf2194_632862","mf2195_632653","mf2195_632991","mf2198_633289","mf2201_632697","mf2201_633259","mf2202_633055","mf2204_632815","mf2207_633260","mf2218_632569","mf2220_632897","mf2228_633159","mf2234_632670","mf2234_633252","mf2238_632510","mf2241_633128","mf2248_632966","mf2250_632732","mf2251_633329","mf2252_632826","mf2253_632547","mf2258_633359","mf2260_632987","mf2264_632603","mf2264_632983","mf2270_632730","mf2271_633158","mf2281_632436","mf2281_633243","mf2293_632739","mf2294_633117","mf2295_632462","mf2295_632579","mf2299_632496","mf2300_632969","mf2303_633278","mf2304_633155","mf2305_633327","mf2313_632715","mf2316_632531","mf2321_632660","mf2323_632507","mf2325_632666","mf2328_632668","mf2333_632608","mf2334_633425","mf2335_632789","mf2338_632422","mf2339_632888","mf2342_632938","mf2342_633201","mf2345_632920","mf2346_633284","mf2355_632924","mf3191_633358","mf3192_632935","mf3194_633086","mf3201_633319","mf3202_632476","mf3204_633234","mf3218_632755","mf3228_633002","mf3250_632854","mf3251_632995","mf3253_633371","mf3260_633144","mf3270_632986","mf3271_633407","mf3294_633037","mf3295_632812","mf3313_633273"
"otu2384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2386",0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7,0,6,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
"otu2390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu2394",0,0,0,0,0,0,0,0,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,6,0,0,0,2,0,0,0,5,0,0,5,1,0,0,2,2,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,7,3,3,0,0,12,0,1,0,2,0,1,0,0,0,3,3,1,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,1,0,2,1,3,0,1,5,0,2,0,0,0,1,0,0,0,4,1,0,0,0,2,0,2,1,1,0,2,0,11,4,0,0,0,15,0,2,0,0,0,2,10,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,2
