yes_adult,no_adult,TIME_OF_SAMPLING
0.96,0.04,3rd_tri
0.958,0.042,3rd_tri
0.832,0.168,3rd_tri
0.952,0.048,3rd_tri
0.938,0.062,3rd_tri
0.876,0.124,3rd_tri
0.462,0.538,3rd_tri
0.84,0.16,3rd_tri
0.822,0.178,3rd_tri
0.884,0.116,3rd_tri
0.938,0.062,3rd_tri
0.954,0.046,3rd_tri
0.846,0.154,3rd_tri
0.972,0.028,3rd_tri
0.87,0.13,3rd_tri
0.746,0.254,3rd_tri
0.8,0.2,3rd_tri
0.868,0.132,3rd_tri
0.852,0.148,3rd_tri
0.834,0.166,3rd_tri
0.782,0.218,3rd_tri
0.534,0.466,3rd_tri
0.87,0.13,3rd_tri
0.722,0.278,3rd_tri
0.916,0.084,3rd_tri
0.972,0.028,3rd_tri
0.948,0.052,3rd_tri
0.898,0.102,3rd_tri
0.948,0.052,3rd_tri
0.882,0.118,3rd_tri
0.898,0.102,3rd_tri
0.804,0.196,3rd_tri
0.946,0.054,3rd_tri
0.954,0.046,3rd_tri
0.742,0.258,3rd_tri
0.932,0.068,3rd_tri
0.934,0.066,3rd_tri
0.88,0.12,3rd_tri
0.794,0.206,3rd_tri
0.888,0.112,3rd_tri
0.848,0.152,3rd_tri
0.958,0.042,3rd_tri
0.818,0.182,3rd_tri
0.95,0.05,3rd_tri
0.96,0.04,3rd_tri
0.962,0.038,3rd_tri
0.876,0.124,3rd_tri
0.908,0.092,3rd_tri
0.646,0.354,3rd_tri
0.92,0.08,3rd_tri
0.972,0.028,3rd_tri
0.912,0.088,3rd_tri
0.928,0.072,3rd_tri
0.97,0.03,3rd_tri
0.71,0.29,3rd_tri
0.876,0.124,3rd_tri
0.882,0.118,3rd_tri
0.87,0.13,3rd_tri
0.682,0.318,3rd_tri
0.922,0.078,3rd_tri
0.926,0.074,3rd_tri
0.958,0.042,3rd_tri
0.344,0.656,3rd_tri
0.972,0.028,3rd_tri
0.9,0.1,3rd_tri
0.92,0.08,3rd_tri
0.91,0.09,3rd_tri
0.868,0.132,3rd_tri
0.948,0.052,3rd_tri
0.862,0.138,3rd_tri
0.794,0.206,3rd_tri
0.954,0.046,3rd_tri
0.822,0.178,3rd_tri
0.946,0.054,3rd_tri
0.962,0.038,3rd_tri
0.962,0.038,3rd_tri
0.934,0.066,3rd_tri
0.87,0.13,3rd_tri
0.956,0.044,3rd_tri
0.904,0.096,3rd_tri
0.966,0.034,3rd_tri
0.918,0.082,3rd_tri
0.924,0.076,3rd_tri
0.844,0.156,3rd_tri
0.89,0.11,3rd_tri
0.894,0.106,3rd_tri
0.942,0.058,3rd_tri
0.934,0.066,3rd_tri
0.926,0.074,3rd_tri
0.89,0.11,3rd_tri
0.828,0.172,3rd_tri
0.904,0.096,3rd_tri
0.87,0.13,3rd_tri
0.838,0.162,1_month_post
0.882,0.118,1_month_post
0.808,0.192,1_month_post
0.89,0.11,1_month_post
0.696,0.304,1_month_post
0.83,0.17,1_month_post
0.716,0.284,1_month_post
0.954,0.046,1_month_post
0.958,0.042,1_month_post
0.976,0.024,1_month_post
0.934,0.066,1_month_post
0.934,0.066,1_month_post
0.958,0.042,1_month_post
0.786,0.214,1_month_post
0.914,0.086,1_month_post
0.912,0.088,1_month_post
0.962,0.038,1_month_post
0.15,0.85,6_month_old
0.02,0.98,6_month_old
0.77,0.23,6_month_old
0.07,0.93,6_month_old
0.73,0.27,6_month_old
0.24,0.76,6_month_old
0.01,0.99,6_month_old
0.128,0.872,6_month_old
0.668,0.332,6_month_old
0.11,0.89,6_month_old
0.388,0.612,6_month_old
0.018,0.982,6_month_old
0.546,0.454,6_month_old
0.02,0.98,6_month_old
0.124,0.876,6_month_old
0.694,0.306,6_month_old
0.06,0.94,6_month_old
0.064,0.936,6_month_old
0.018,0.982,6_month_old
0.024,0.976,6_month_old
0.896,0.104,4_years_old
0.542,0.458,4_years_old
0.728,0.272,4_years_old
0.842,0.158,4_years_old
0.648,0.352,4_years_old
0.962,0.038,4_years_old
0.758,0.242,4_years_old
0.646,0.354,4_years_old
0.858,0.142,4_years_old
0.768,0.232,4_years_old
0.862,0.138,4_years_old
0.716,0.284,4_years_old
0.766,0.234,4_years_old
0.816,0.184,4_years_old
0.722,0.278,4_years_old
0.828,0.172,4_years_old
0.858,0.142,4_years_old
0.72,0.28,4_years_old
0.304,0.696,4_years_old
0.73,0.27,4_years_old
